Customer_ID,Age,Gender,Location,Browsing_History,Purchase_History,Customer_Segment,Avg_Order_Value,Holiday,Season,Unnamed: 10,income
C1000,28,Female,Chennai,"['Books', 'Fashion']","['Biography', 'Jeans']",New Visitor,4806.99,No,Winter,,61702
C1001,27,Male,Delhi,"['Books', 'Fitness', 'Fashion']","['Biography', 'Resistance Bands', 'T-shirt']",Occasional Shopper,795.03,Yes,Autumn,,42194
C1002,34,Other,Chennai,['Electronics'],['Smartphone'],Occasional Shopper,1742.45,Yes,Summer,,75036
C1003,23,Male,Bangalore,['Home Decor'],['Wall Art'],Frequent Buyer,2023.16,No,Autumn,,56424
C1004,24,Other,Kolkata,"['Fashion', 'Home Decor']","['Shoes', 'Lamp']",Frequent Buyer,794.76,No,Winter,,40561
C1005,22,Other,Bangalore,['Home Decor'],['Curtains'],Frequent Buyer,2504.65,No,Winter,,45525
C1006,30,Male,Kolkata,['Home Decor'],['Cushions'],New Visitor,2171.58,No,Autumn,,86059
C1007,38,Female,Delhi,['Home Decor'],['Wall Art'],Frequent Buyer,1188.17,Yes,Summer,,73531
C1008,52,Male,Kolkata,['Home Decor'],['Lamp'],New Visitor,3104.72,Yes,Autumn,,56577
C1009,21,Male,Kolkata,['Fitness'],['Resistance Bands'],Occasional Shopper,4551.92,Yes,Summer,,33297
C1010,42,Female,Kolkata,"['Books', 'Electronics', 'Fitness']","['Biography', 'Smartphone', 'Yoga Mat']",Frequent Buyer,1220.67,No,Autumn,,61210
C1011,36,Other,Bangalore,['Fitness'],['Yoga Mat'],Occasional Shopper,584.82,No,Spring,,58453
C1012,34,Male,Kolkata,"['Electronics', 'Books', 'Fitness']","['Headphones', 'Fiction', 'Yoga Mat']",Frequent Buyer,4418.81,No,Winter,,84741
C1013,55,Male,Chennai,"['Books', 'Fashion']","['Non-fiction', 'Shoes']",Frequent Buyer,2592.63,Yes,Autumn,,40716
C1014,40,Other,Bangalore,"['Fitness', 'Electronics']","['Resistance Bands', 'Smartphone']",Frequent Buyer,3415.33,Yes,Summer,,57074
C1015,54,Other,Mumbai,"['Home Decor', 'Beauty', 'Electronics']","['Curtains', 'Foundation', 'Headphones']",Frequent Buyer,698.1,No,Summer,,45430
C1016,41,Other,Kolkata,['Fashion'],['T-shirt'],Frequent Buyer,1669.59,Yes,Summer,,57811
C1017,44,Male,Delhi,"['Fitness', 'Home Decor']","['Resistance Bands', 'Lamp']",Occasional Shopper,4399.61,Yes,Summer,,85109
C1018,22,Female,Mumbai,"['Electronics', 'Fashion']","['Laptop', 'Shoes']",New Visitor,3237.5,No,Autumn,,42971
C1019,40,Female,Delhi,"['Books', 'Home Decor']","['Biography', 'Wall Art']",New Visitor,3299.23,No,Winter,,60227
C1020,52,Female,Delhi,"['Electronics', 'Fashion', 'Beauty']","['Laptop', 'Jeans', 'Moisturizer']",New Visitor,4987.0,Yes,Winter,,84002
C1021,41,Female,Delhi,"['Electronics', 'Books', 'Beauty']","['Headphones', 'Fiction', 'Moisturizer']",Occasional Shopper,4724.02,Yes,Spring,,80614
C1022,40,Male,Mumbai,['Home Decor'],['Wall Art'],New Visitor,3169.44,No,Summer,,76534
C1023,36,Male,Delhi,"['Fitness', 'Books']","['Resistance Bands', 'Comics']",Occasional Shopper,3842.19,No,Spring,,62219
C1024,19,Other,Bangalore,"['Books', 'Fitness']","['Biography', 'Dumbbells']",Frequent Buyer,1586.33,Yes,Winter,,22301
C1025,45,Other,Delhi,"['Books', 'Fitness']","['Comics', 'Yoga Mat']",Frequent Buyer,1839.54,Yes,Spring,,69352
C1026,20,Male,Chennai,"['Books', 'Home Decor']","['Biography', 'Curtains']",Frequent Buyer,3861.96,Yes,Winter,,24102
C1027,52,Other,Mumbai,"['Books', 'Electronics', 'Fitness']","['Non-fiction', 'Headphones', 'Yoga Mat']",Frequent Buyer,1073.47,Yes,Autumn,,55173
C1028,52,Other,Bangalore,"['Electronics', 'Fashion']","['Smartwatch', 'Jeans']",Frequent Buyer,3766.58,No,Summer,,57939
C1029,54,Female,Chennai,"['Books', 'Fashion']","['Fiction', 'Shoes']",Occasional Shopper,1855.09,Yes,Spring,,52146
C1030,35,Other,Kolkata,"['Beauty', 'Books', 'Fashion']","['Perfume', 'Non-fiction', 'Jacket']",New Visitor,1090.75,No,Winter,,59382
C1031,36,Female,Kolkata,['Fashion'],['T-shirt'],Frequent Buyer,2671.88,No,Winter,,93639
C1032,28,Female,Mumbai,"['Home Decor', 'Books', 'Fashion']","['Curtains', 'Comics', 'Shoes']",Occasional Shopper,2850.56,No,Spring,,50474
C1033,31,Male,Mumbai,"['Electronics', 'Beauty']","['Smartphone', 'Moisturizer']",New Visitor,1318.82,Yes,Summer,,55203
C1034,35,Female,Delhi,"['Electronics', 'Books', 'Fashion']","['Laptop', 'Biography', 'T-shirt']",New Visitor,1035.54,No,Autumn,,73017
C1035,60,Female,Bangalore,"['Home Decor', 'Electronics', 'Fitness']","['Cushions', 'Laptop', 'Resistance Bands']",New Visitor,3234.16,Yes,Spring,,32588
C1036,27,Male,Bangalore,['Beauty'],['Foundation'],Occasional Shopper,2984.61,No,Summer,,52342
C1037,53,Other,Chennai,"['Home Decor', 'Fitness']","['Wall Art', 'Resistance Bands']",Frequent Buyer,2679.8,Yes,Winter,,41349
C1038,44,Other,Chennai,"['Electronics', 'Beauty', 'Fitness']","['Smartphone', 'Moisturizer', 'Treadmill']",Frequent Buyer,1782.62,Yes,Summer,,54607
C1039,27,Female,Bangalore,"['Fitness', 'Fashion', 'Electronics']","['Treadmill', 'T-shirt', 'Smartwatch']",Frequent Buyer,1391.02,Yes,Autumn,,46508
C1040,56,Male,Chennai,"['Electronics', 'Fashion']","['Laptop', 'Jeans']",Occasional Shopper,2186.39,Yes,Summer,,42954
C1041,30,Other,Mumbai,['Books'],['Biography'],Occasional Shopper,1902.01,No,Summer,,69983
C1042,54,Other,Bangalore,"['Fashion', 'Home Decor', 'Electronics']","['Shoes', 'Cushions', 'Smartwatch']",New Visitor,4912.05,No,Winter,,66352
C1043,57,Female,Chennai,['Home Decor'],['Curtains'],New Visitor,3275.36,Yes,Autumn,,39619
C1044,54,Other,Kolkata,"['Fashion', 'Home Decor']","['Shoes', 'Wall Art']",Occasional Shopper,4436.31,No,Summer,,50975
C1045,27,Male,Kolkata,"['Home Decor', 'Beauty', 'Fitness']","['Cushions', 'Moisturizer', 'Treadmill']",Occasional Shopper,1212.03,No,Autumn,,39737
C1046,19,Other,Chennai,['Electronics'],['Headphones'],New Visitor,831.1,Yes,Summer,,21200
C1047,20,Female,Chennai,"['Home Decor', 'Fashion', 'Beauty']","['Cushions', 'Jeans', 'Moisturizer']",Frequent Buyer,2569.62,No,Winter,,30756
C1048,28,Other,Bangalore,['Fashion'],['Jeans'],Frequent Buyer,1553.49,Yes,Winter,,48410
C1049,38,Other,Mumbai,"['Electronics', 'Fashion']","['Headphones', 'Jacket']",New Visitor,1924.44,No,Winter,,51210
C1050,25,Female,Chennai,['Fashion'],['T-shirt'],Occasional Shopper,2177.47,No,Spring,,49552
C1051,49,Other,Delhi,"['Books', 'Fitness', 'Home Decor']","['Fiction', 'Yoga Mat', 'Wall Art']",Occasional Shopper,3792.71,No,Winter,,61303
C1052,53,Female,Kolkata,"['Home Decor', 'Fashion']","['Cushions', 'Jeans']",Frequent Buyer,2864.19,Yes,Autumn,,53321
C1053,50,Male,Delhi,"['Fitness', 'Books', 'Home Decor']","['Resistance Bands', 'Non-fiction', 'Lamp']",New Visitor,3245.79,No,Summer,,68066
C1054,35,Female,Mumbai,['Books'],['Non-fiction'],Frequent Buyer,3640.83,Yes,Summer,,90090
C1055,22,Male,Mumbai,"['Home Decor', 'Fitness', 'Books']","['Wall Art', 'Dumbbells', 'Non-fiction']",Occasional Shopper,4220.77,Yes,Winter,,60618
C1056,22,Male,Kolkata,['Fitness'],['Yoga Mat'],New Visitor,3257.57,Yes,Autumn,,43546
C1057,23,Other,Mumbai,['Books'],['Comics'],Occasional Shopper,4741.3,No,Spring,,52872
C1058,36,Other,Mumbai,['Beauty'],['Foundation'],New Visitor,2449.43,No,Winter,,75753
C1059,36,Other,Bangalore,"['Home Decor', 'Beauty']","['Curtains', 'Moisturizer']",Occasional Shopper,843.83,Yes,Summer,,73524
C1060,48,Other,Mumbai,"['Electronics', 'Beauty', 'Fashion']","['Smartwatch', 'Perfume', 'Jeans']",Occasional Shopper,2132.53,Yes,Spring,,54168
C1061,37,Other,Chennai,"['Fitness', 'Beauty', 'Books']","['Resistance Bands', 'Foundation', 'Comics']",Occasional Shopper,2390.81,Yes,Spring,,69930
C1062,55,Male,Chennai,"['Fashion', 'Electronics']","['Jeans', 'Laptop']",Frequent Buyer,4719.04,No,Winter,,55166
C1063,38,Male,Delhi,['Home Decor'],['Lamp'],Occasional Shopper,1379.44,Yes,Autumn,,54893
C1064,27,Male,Delhi,"['Books', 'Home Decor', 'Fashion']","['Non-fiction', 'Curtains', 'Shoes']",New Visitor,1740.52,No,Spring,,52052
C1065,43,Other,Mumbai,"['Fashion', 'Beauty']","['Jacket', 'Foundation']",New Visitor,1261.25,No,Autumn,,79193
C1066,35,Other,Mumbai,['Books'],['Non-fiction'],Occasional Shopper,4934.59,No,Spring,,83580
C1067,30,Other,Bangalore,['Fashion'],['T-shirt'],Occasional Shopper,4339.52,Yes,Autumn,,92522
C1068,21,Male,Chennai,"['Beauty', 'Home Decor']","['Lipstick', 'Wall Art']",Occasional Shopper,1571.62,No,Spring,,26178
C1069,29,Female,Kolkata,"['Beauty', 'Fitness']","['Lipstick', 'Treadmill']",Occasional Shopper,4430.92,Yes,Summer,,50919
C1070,55,Female,Kolkata,"['Fitness', 'Fashion']","['Resistance Bands', 'T-shirt']",Occasional Shopper,2583.54,No,Summer,,60160
C1071,50,Other,Kolkata,"['Electronics', 'Beauty']","['Smartwatch', 'Perfume']",Occasional Shopper,4057.64,Yes,Summer,,80976
C1072,29,Male,Kolkata,['Books'],['Fiction'],New Visitor,2985.73,No,Winter,,51040
C1073,48,Female,Kolkata,"['Home Decor', 'Fitness']","['Wall Art', 'Dumbbells']",Frequent Buyer,972.96,No,Summer,,65976
