Customer_ID,Product_ID,Category,productEvent_Type,Interaction_Value,Timestamp,Time_Spent_Seconds
C10294,P8646,Beauty,view,1.47,2025-10-19 13:47:08.004929,97
C10294,P4866,Home Decor,view,3.35,2025-05-31 07:45:44.012479,78
C10294,P8939,Home Decor,view,1.85,2025-09-22 08:24:19.020474,26
C5589,P10243,Electronics,view,3.33,2025-06-25 13:19:20.037795,65
C5589,P10243,Electronics,add_to_cart,1.0,2025-10-25 01:35:15.037795,174
C5589,P10154,Electronics,view,2.99,2026-01-05 09:59:06.046028,113
C5589,P6035,Electronics,view,4.85,2025-08-07 13:37:36.053036,87
C5589,P6035,Electronics,add_to_cart,1.0,2025-12-11 17:28:26.053036,97
C5589,P3974,Fashion,view,2.84,2025-10-26 08:21:17.056032,119
C5589,P6087,Electronics,view,2.47,2025-11-30 18:50:03.060748,44
C5589,P2221,Fashion,view,1.41,2025-09-01 16:13:17.063999,15
C9283,P5891,Electronics,view,0.81,2025-09-22 00:28:09.069169,21
C9283,P10710,Electronics,view,1.34,2025-05-08 18:36:45.070579,80
C9283,P6777,Electronics,view,2.67,2025-06-29 04:29:32.072640,29
C9283,P6082,Fitness,view,1.36,2025-07-10 18:05:47.076641,71
C9283,P2305,Electronics,view,1.68,2025-04-03 09:10:37.079641,82
C9283,P2144,Electronics,view,0.83,2025-10-31 02:08:36.081641,28
C9283,P5367,Electronics,view,2.2,2025-09-16 04:01:29.087815,16
C9283,P6480,Electronics,view,3.41,2025-05-12 14:08:08.097217,114
C9283,P6480,Electronics,add_to_cart,1.0,2025-12-14 05:38:50.097217,137
C10461,P6521,Fitness,view,1.47,2025-07-31 14:13:22.106387,36
C10461,P6521,Fitness,add_to_cart,1.0,2025-10-15 13:02:45.106387,21
C10461,P6521,Fitness,purchase,3147.0,2025-06-16 12:17:50.106387,122
C10461,P7454,Home Decor,view,1.49,2025-09-11 23:04:40.112446,93
C10461,P8239,Home Decor,view,2.62,2026-02-08 12:22:52.116266,23
C10461,P4353,Fitness,view,3.9,2025-10-06 19:47:45.119729,68
C10461,P4353,Fitness,add_to_cart,1.0,2025-11-06 14:41:34.119729,152
C10461,P11638,Fitness,view,0.73,2025-03-14 03:45:17.121746,96
C10461,P7677,Fitness,view,2.69,2025-06-17 07:58:00.122748,54
C10461,P9301,Books,view,4.88,2025-11-27 11:12:52.127068,94
C10461,P10062,Electronics,view,2.73,2025-08-03 00:38:46.129068,73
C10461,P11733,Home Decor,view,2.42,2025-05-18 14:19:11.131066,18
C10461,P11733,Home Decor,add_to_cart,1.0,2026-01-31 12:08:47.131066,157
C10461,P3818,Fitness,view,2.35,2025-10-30 00:45:39.137527,49
C1402,P5640,Fashion,view,0.37,2025-12-31 01:29:08.139542,120
C1402,P9590,Fashion,view,1.61,2025-03-02 15:28:35.144113,46
C1402,P9590,Fashion,add_to_cart,1.0,2025-10-27 20:12:46.144113,41
C1402,P9590,Fashion,purchase,4428.0,2025-12-15 01:00:19.144113,233
C1402,P3618,Books,view,4.01,2025-11-14 08:20:49.146534,36
C1402,P5160,Fitness,view,2.85,2025-07-24 12:06:04.146534,73
C1402,P2398,Fashion,view,1.74,2025-06-14 13:53:15.148880,117
C2047,P3540,Books,view,3.16,2025-11-01 03:20:39.152882,41
C2047,P8380,Fitness,view,0.93,2026-02-04 01:04:31.154308,114
C2047,P11844,Books,view,4.66,2025-11-10 19:57:46.155716,5
C2047,P11837,Electronics,view,3.23,2025-03-19 16:01:43.157738,73
C2047,P9426,Books,view,4.28,2025-04-01 21:39:55.161131,38
C2047,P10956,Books,view,1.11,2025-03-10 18:05:59.162139,100
C2047,P10668,Books,view,0.78,2025-10-02 07:05:09.163521,110
C3540,P2231,Fitness,view,1.94,2025-06-01 03:21:51.164535,21
C3540,P2270,Fitness,view,1.75,2025-08-04 20:14:08.165541,112
C3540,P5490,Electronics,view,4.67,2026-02-06 17:19:24.167896,115
C3540,P8384,Home Decor,view,0.22,2025-12-06 15:17:09.171127,110
C3540,P6206,Fitness,view,3.47,2026-02-16 13:23:01.173577,87
C3540,P8129,Home Decor,view,0.89,2025-07-23 17:37:05.177530,69
C3540,P9517,Home Decor,view,3.81,2025-08-14 18:21:58.179546,95
C3540,P10917,Home Decor,view,3.58,2025-03-06 21:23:45.180559,118
C3540,P10917,Home Decor,add_to_cart,1.0,2025-06-01 23:51:15.180559,123
C6844,P10717,Home Decor,view,1.67,2025-11-06 08:20:24.183908,15
C6844,P2886,Beauty,view,4.54,2025-11-18 20:14:08.186910,98
C6844,P3226,Home Decor,view,2.52,2025-03-14 09:00:15.188910,45
C6844,P10459,Electronics,view,3.78,2026-02-24 08:15:28.190945,52
C6844,P10459,Electronics,add_to_cart,1.0,2025-07-19 12:44:15.190945,70
C6844,P10100,Home Decor,view,3.44,2025-03-13 09:24:10.194967,24
C6844,P5002,Electronics,view,4.92,2025-07-29 10:42:59.196169,44
C6844,P3641,Home Decor,view,3.5,2026-02-06 22:34:25.197190,28
C3588,P5865,Books,view,2.15,2025-03-15 15:32:54.198339,100
C3588,P9954,Fitness,view,2.24,2026-01-23 00:54:47.201559,59
C3588,P10747,Books,view,0.65,2025-08-11 07:26:46.203554,105
C3588,P5113,Books,view,2.3,2026-01-12 08:56:44.206840,93
C3588,P11742,Home Decor,view,1.97,2025-03-08 02:16:33.208832,29
C3588,P5182,Books,view,4.5,2025-07-30 15:17:01.212301,23
C3588,P5182,Books,add_to_cart,1.0,2025-03-31 16:52:59.212301,88
C3588,P5182,Books,purchase,4355.0,2025-05-02 01:22:27.212301,396
C3588,P2935,Books,view,2.35,2025-04-30 05:49:56.214292,91
C3588,P9340,Books,view,2.26,2026-02-18 17:04:21.218367,31
C1723,P3449,Fitness,view,4.22,2025-07-06 11:12:27.221373,70
C1723,P5645,Fitness,view,1.92,2025-10-30 05:34:28.227541,50
C1723,P7877,Fitness,view,1.25,2025-06-11 05:01:05.230538,65
C6411,P9153,Fitness,view,2.76,2025-06-25 18:20:35.233549,75
C6411,P9153,Fitness,add_to_cart,1.0,2025-08-13 04:45:27.233549,136
C6411,P9153,Fitness,purchase,3616.0,2025-06-10 16:40:47.233549,188
C6411,P9153,Fitness,review,2.0,2025-10-22 12:28:20.233549,183
C6411,P8179,Fitness,view,1.73,2025-04-28 09:09:48.236541,49
C6411,P8979,Fitness,view,0.2,2025-05-09 02:32:57.238623,46
C6411,P8979,Fitness,add_to_cart,1.0,2025-12-27 05:37:50.238623,172
C6411,P8979,Fitness,purchase,2463.0,2025-08-31 07:50:02.238623,219
C6411,P11315,Fitness,view,1.14,2026-02-20 23:30:55.239625,39
C6411,P7804,Fitness,view,0.38,2025-10-10 12:58:52.242765,7
C6411,P5183,Fitness,view,2.02,2025-05-28 02:02:07.248708,14
C6411,P5183,Fitness,add_to_cart,1.0,2025-09-21 08:17:18.248708,27
C6411,P11723,Fitness,view,2.67,2025-10-30 02:08:38.254093,119
C6411,P10164,Fitness,view,0.68,2026-02-11 09:11:07.255414,56
C6539,P11109,Fitness,view,0.89,2025-12-21 12:55:58.259428,118
C6539,P4849,Electronics,view,0.17,2025-03-21 03:24:18.261425,15
C6539,P3618,Books,view,1.1,2025-08-15 10:37:59.263617,97
C6539,P7505,Home Decor,view,2.12,2025-08-11 23:01:31.268633,8
C6539,P5699,Fitness,view,4.06,2025-07-07 11:18:19.273168,17
C6539,P4987,Fitness,view,3.45,2025-12-21 22:23:43.276532,18
C6539,P4987,Fitness,add_to_cart,1.0,2025-07-25 10:45:58.276532,48
C6539,P5378,Fitness,view,1.98,2025-07-12 03:43:36.278550,28
C9709,P11013,Home Decor,view,4.06,2025-10-31 22:40:47.280747,115
C9709,P9601,Home Decor,view,0.26,2025-05-11 16:08:56.280747,10
C9709,P4072,Home Decor,view,2.75,2025-03-03 18:09:22.285777,19
C7232,P11303,Fitness,view,0.66,2025-07-04 03:08:36.287782,87
C7232,P11303,Fitness,add_to_cart,1.0,2025-04-26 03:34:02.287782,50
C7232,P5797,Fitness,view,4.14,2025-04-16 23:34:46.288774,111
C7232,P10739,Home Decor,view,2.51,2025-05-03 11:45:09.292032,29
C5507,P5109,Beauty,view,3.58,2025-10-31 08:31:36.296049,19
C5507,P7207,Home Decor,view,1.35,2025-12-16 22:09:17.298063,59
C5507,P3031,Beauty,view,2.31,2025-06-16 09:53:18.301059,36
C5507,P7016,Books,view,3.39,2025-10-30 09:51:56.304054,117
C5507,P11295,Home Decor,view,3.92,2025-09-20 16:53:37.305051,73
C3947,P3845,Books,view,3.93,2025-06-12 10:03:36.306051,27
C3947,P2202,Beauty,view,4.93,2025-06-21 15:37:29.307052,39
C3947,P8738,Electronics,view,3.88,2025-09-11 00:55:44.309332,40
C3947,P2264,Beauty,view,2.8,2025-04-21 07:24:09.310844,25
C3947,P3432,Electronics,view,3.14,2025-04-22 20:45:03.313324,118
C3947,P3432,Electronics,add_to_cart,1.0,2025-05-04 04:00:39.313324,125
C3947,P2131,Beauty,view,3.63,2025-11-27 06:51:08.314327,14
C3947,P6935,Fitness,view,3.57,2025-12-18 23:49:43.316768,20
C3947,P10657,Beauty,view,4.1,2025-07-26 01:46:49.318773,43
C3947,P10657,Beauty,add_to_cart,1.0,2026-02-19 07:27:21.318773,26
C3947,P3894,Electronics,view,3.17,2025-09-19 04:15:50.319770,39
C5824,P2976,Electronics,view,4.81,2026-01-26 18:26:49.320771,41
C5824,P3358,Electronics,view,4.76,2025-09-05 07:59:17.321767,47
C5824,P3358,Electronics,add_to_cart,1.0,2025-07-14 05:14:28.321767,115
C5824,P9498,Electronics,view,1.7,2025-04-18 20:14:33.322771,60
C5824,P2227,Electronics,view,3.85,2025-12-30 00:01:48.323770,17
C5824,P10545,Electronics,view,3.46,2025-05-28 08:18:11.326874,108
C5824,P10545,Electronics,add_to_cart,1.0,2026-01-12 09:29:02.326874,28
C5824,P10571,Electronics,view,2.02,2025-10-19 21:59:53.328897,98
C6239,P8097,Beauty,view,2.94,2025-06-02 14:48:37.329895,19
C6239,P6202,Beauty,view,3.77,2025-12-29 23:54:23.329895,106
C6239,P9266,Beauty,view,1.17,2026-02-26 20:52:21.330893,89
C6239,P6531,Beauty,view,0.98,2025-07-18 14:24:30.330893,57
C6239,P6307,Beauty,view,2.92,2025-05-20 15:31:24.331894,72
C6239,P10087,Beauty,view,3.49,2025-11-30 12:50:12.333616,29
C6239,P9260,Beauty,view,4.87,2025-08-18 13:44:49.334636,59
C6239,P5874,Beauty,view,1.75,2025-03-11 18:51:29.335634,47
C8932,P10252,Beauty,view,3.54,2025-11-23 00:50:49.336630,96
C8932,P3582,Home Decor,view,1.97,2025-12-20 01:54:53.336630,120
C8932,P9031,Beauty,view,4.69,2026-02-13 22:00:19.337632,49
C8932,P7304,Beauty,view,2.89,2025-07-24 04:58:21.337632,104
C8932,P7726,Home Decor,view,2.72,2025-10-14 06:51:17.338635,18
C8932,P4785,Beauty,view,2.47,2026-01-31 06:16:20.338635,110
C4166,P11546,Books,view,4.37,2025-04-29 04:09:23.339632,101
C4166,P6417,Books,view,1.7,2025-03-05 11:00:42.339632,109
C4166,P3655,Electronics,view,3.78,2026-01-13 14:33:25.340634,41
C4166,P6632,Books,view,1.21,2025-09-26 12:55:30.341638,9
C4166,P3447,Books,view,3.62,2025-09-27 08:31:14.341638,58
C4166,P3447,Books,add_to_cart,1.0,2025-04-15 15:21:31.341638,27
C4166,P4450,Books,view,3.5,2025-08-09 18:41:53.342633,60
C4166,P3663,Books,view,2.58,2025-12-06 17:32:26.344632,109
C4166,P5537,Books,view,1.88,2025-07-04 05:01:49.344632,34
C4166,P8926,Books,view,0.79,2025-06-06 07:00:35.345958,54
C4166,P9892,Books,view,4.2,2025-10-03 01:11:16.345958,80
C4166,P9892,Books,add_to_cart,1.0,2026-01-06 22:52:53.345958,64
C10789,P10166,Books,view,1.01,2025-03-04 20:09:15.346972,8
C10789,P7624,Home Decor,view,1.55,2025-11-18 12:56:20.346972,66
C10789,P7624,Home Decor,add_to_cart,1.0,2025-04-06 13:04:18.346972,54
C10789,P8332,Electronics,view,3.78,2025-06-05 05:16:37.347971,65
C10789,P10577,Electronics,view,4.68,2025-12-29 04:31:12.348976,72
C10789,P5679,Books,view,1.78,2026-01-08 05:21:52.349981,8
C10789,P5108,Books,view,3.66,2026-01-11 17:54:31.350981,82
C10789,P5108,Books,add_to_cart,1.0,2025-04-04 12:58:42.350981,165
C10789,P4611,Books,view,0.33,2025-08-02 12:22:28.350981,49
C10789,P4611,Books,add_to_cart,1.0,2026-01-01 06:57:50.350981,52
C10789,P7289,Electronics,view,2.37,2026-01-17 12:02:59.351973,38
C3399,P6826,Electronics,view,4.56,2025-05-03 09:46:35.352972,115
C3399,P11893,Fitness,view,0.77,2025-08-21 17:23:39.352972,50
C3399,P9562,Beauty,view,4.37,2026-02-25 17:24:49.353973,65
C3399,P4769,Electronics,view,4.8,2025-10-08 02:35:45.353973,102
C4630,P2491,Fashion,view,2.97,2025-06-01 22:02:07.354973,79
C4630,P7841,Books,view,3.48,2025-12-02 19:22:15.354973,101
C4630,P7841,Books,add_to_cart,1.0,2026-01-22 12:02:06.354973,170
C4630,P10709,Fashion,view,2.95,2026-02-14 18:24:41.355973,26
C4630,P3879,Fashion,view,3.19,2025-03-14 19:09:47.355973,117
C4630,P9331,Fashion,view,3.32,2025-05-19 08:02:44.356972,104
C4630,P8597,Fashion,view,1.78,2025-12-10 20:53:17.356972,95
C4630,P5806,Fashion,view,4.89,2025-08-22 18:13:19.357973,111
C4630,P5806,Fashion,add_to_cart,1.0,2025-05-20 16:22:32.357973,61
C4630,P5806,Fashion,purchase,3613.0,2025-12-13 08:31:02.357973,237
C4630,P5395,Books,view,1.11,2025-05-11 15:12:07.359977,89
C4630,P9667,Fashion,view,4.02,2025-05-30 03:57:08.360969,68
C4409,P6925,Fitness,view,1.79,2025-10-14 18:21:25.361971,92
C4409,P7984,Beauty,view,4.15,2025-05-28 16:01:11.362971,87
C4409,P7041,Fitness,view,4.25,2025-11-25 11:29:47.362971,95
C4409,P8329,Fitness,view,2.48,2025-05-26 19:03:55.363973,106
